CODIGO_str,alpha_gpt,beta_gpt,gamma_gpt,alpha_h,beta_h,gamma_h,poblacion,DESCRIPCION
4413,0.95,0.9750000000000002,1.0,0.2,0.6000000000000001,1.0,284.8551906343664,"CODIFICADORES DE DATOS, CORRECTORES DE PRUEBAS DE IMPRENTA Y AFINES"
4132,0.857142857142857,0.8928571428571427,0.9285714285714285,0.21428571428571425,0.5,0.7857142857142856,4832.528856055793,GRABADORES DE DATOS
2512,0.7894736842105263,0.8684210526315791,0.9473684210526315,0.05263157894736842,0.4473684210526316,0.8421052631578947,8201.052950069738,DESARROLLADORES DE SOFTWARE
4419,0.6964285714285715,0.8392857142857144,0.9821428571428572,0.5,0.6660714285714285,0.8321428571428572,2695.979648074948,PERSONAL DE APOYO ADMINISTRATIVO NO CLASIFICADO BAJO OTROS EPÍGRAFES
4313,0.6756756756756757,0.8378378378378377,1.0,0.16216216216216217,0.48648648648648657,0.810810810810811,1208.9692795396106,EMPLEADOS ENCARGADOS DE LAS NÓMINAS
3314,0.6723320158102767,0.8082125603864734,0.9440931049626703,0.3583662714097497,0.648375054896794,0.9383838383838384,372.613874131671,"PROFESIONALES DE NIVEL MEDIO DE SERVICIOS ESTADÍSTICOS, MATEMÁTICOS Y AFINES."
5244,0.6111111111111112,0.8055555555555555,1.0,0.2222222222222222,0.5277777777777778,0.8333333333333333,29438.20668819019,VENDEDORES POR TELÉFONO
3313,0.6046511627906976,0.8023255813953488,1.0,0.13953488372093023,0.313953488372093,0.48837209302325585,19971.838608607955,TENEDORES DE LIBROS
4311,0.6475636766334442,0.7880675526024364,0.9285714285714287,0.16500553709856036,0.3653100775193798,0.5656146179401994,20103.464496240842,EMPLEADOS DE CONTABILIDAD Y CÁLCULO DE COSTOS
2641,0.6098164906988436,0.7753330819507289,0.9408496732026141,0.5361990950226243,0.7072063013239483,0.8782135076252722,776.6583415099653,Autores y otros escritores
3344,0.5773809523809524,0.7708333333333331,0.9642857142857142,0.25661375661375657,0.4216269841269842,0.5866402116402116,7047.665980935557,SECRETARIOS MÉDICOS
4223,0.6791171477079796,0.7618845500848896,0.8446519524617997,0.3777589134125636,0.518251273344652,0.6587436332767402,32.23000242476274,TELEFONISTAS
2514,0.5423855586329791,0.7509592074950353,0.9595328563570912,0.26645258283673634,0.5875239186780871,0.9085952545194379,1006.3608918124711,PROGRAMADORES DE APLICACIONES
